Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses
Pinaceae,Abies,balsamea,Balsam Fir,slow,"[3, 4, 5, 6]",to,5,evergreen,,May,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Low swampy grounds where it is often the major component of forests[82]. Also found on well-drained hillsides[82].,"North-eastern N. America - Newfoundland to Virginia, west to Alberta, Michigan and Ohio.",(3 of 5),(5 of 5),(3 of 5)
Pinaceae,Larix,laricina,"Tamarack, Hackmatack, American Larch",medium,"[2, 3, 4, 5]",18,,deciduous,,March to April,October,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],[],"Often forming pure forests in the south of its range in swamps and wet soils[43, 82, 222], sometimes also on dry plateau or slopes in the north of its range[82, 226].","Northern N. America - Alaska to Labrador, south to West Virginia.",(2 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,cembroides,"Mexican Pine Nut, Pinyon Pine",slow,"[5, 6, 7, 8]",to,5,evergreen,,May to June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Hot arid mountain slopes above 2000 metres, with juniper and scrub oak[82, 181]. Usually in poor, shallow, rocky or gravelly soils[229].","Southern N. America - Arizona to Texas, south to Mexico.",(4 of 5),(2 of 5),(4 of 5)
Pinaceae,Pinus,edulis,"Rocky Mountain Piñon, Twoneedle pinyon, Nut Pine, Pinyon Pine, Rocky Mountain Pinyon Pine, Singlelea",slow,"[5, 6, 7, 8]",to,,evergreen,,,October,monoecious,"['light', 'medium']",mildly acid and neutral soils and can grow in very acid,"[' well-drained soil', 'dry or  moist soil']",['drought'],Eastern foothills of the outer reaches of the Rockies on arid mesas in pure stands or with junipers[120].,South-western N. America - Rocky mountains.,(4 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,gerardiana,Chilghoza Pine,slow,"[6, 7, 8, 9]",to,,evergreen,,May to June,October,monoecious,"['light', 'medium', 'heavy', 'heavy']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Dry inner valleys[51], usually on limestone[120], to 3000 metres. Gregarious on dry steep rocky slopes on granite or clay slate in areas beyond the reach of the S.W. monsoons[146].",E. Asia - Afghanistan and the N. W. Himalayas.,(3 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,koraiensis,"Korean Nut Pine, Chinese pinenut",medium,"[4, 5, 6, 7]",to,,evergreen,,May,September,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Dry mountain slopes, especially those facing north, to 2600 metres[74, 120].","E. Asia - China, Korea, Manchuria, Siberia.",(4 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,lambertiana,Sugar Pine,fast,"[6, 7, 8, 9]",to,,evergreen,,May to June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Cool, usually fairly moist, mixed coniferous woods in mountainous areas[60], growing best on deep well-drained soils[22].",South-western N. America - California to Oregon.,(3 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,monophylla,"Single Leaf Piñon, Single Leaf PinyonPine, Stone Pine,  Pine Pinyon",,"[6, 7, 8]",to,,evergreen,,,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Arid slopes at low elevations[120], growing in pinyon-juniper woodlands[229]. Often forms extensive open forests at elevations of 1500 - 2100 metres[82].","Western N. America - Utah to Nevada, Arizona and California.",(4 of 5),(2 of 5),(5 of 5)
Pinaceae,Pinus,pinea,"Italian Stone Pine, Umbrella Pine, Stone Pine",medium,[],to,10,evergreen,,May to June,April,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Maritime sands and alluvium[89].,S. Europe around the Mediterranean.,(4 of 5),(2 of 5),(4 of 5)
Pinaceae,Pinus,ponderosa,"Ponderosa Pine, Washoe pine",medium,"[4, 5, 6, 7, 8]",to,7,evergreen,,June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Found in a variety of soils from sea level to 2800 metres[229], though mainly inland and in drier areas[60]. The best growth is from trees growing in deep well-drained soils[229].",Western N. America - British Columbia to N. Mexico.,(3 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,pumila,Dwarf Siberian Pine,slow,"[3, 4, 5, 6, 7]",to,5,evergreen,,,September,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],Often forms extensive thickets in exposed situations or above the tree line[11]. Mountains at elevations of 1000 - 2300 metres in northern China[266].,"N.E. Asia - China, Japan, Korea, Mongolia and Siberia.",(3 of 5),(2 of 5),(3 of 5)
Pinaceae,Pinus,strobus,"White Pine, Eastern white pine",,"[3, 4, 5, 6, 7]",to,5,evergreen,,,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Woods, especially on sandy drift soils or fertile well-drained soils, sometimes on river banks and rarely in swamps[82]. Often forming dense forests[235].","Eastern N. America - Newfoundland to Manitoba, south to Georgia.",(2 of 5),(3 of 5),(3 of 5)
Pinaceae,Pinus,sylvestris,"Scot's Pine, Scotch Pine",fast,"[3, 4, 5, 6, 7]",to,10,evergreen,,May,March to June,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry moist or  wet soil']","['drought', 'maritime exposure', 'atmospheric pollution']","Forming woods in the mountains of Scotland[7, 9].","Europe, including Britain, from Scandanavia south and east to Spain, Albania and temperate Asia.",(2 of 5),(3 of 5),(5 of 5)
Podocarpaceae,Dacrycarpus,dacrydioides,Kahikatea,slow,[],to,,evergreen,,,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Lowland forest, often dominant in swamp forests, North, South and Stewart Islands[44].",New Zealand.,(2 of 5),(0 of 5),(3 of 5)
Podocarpaceae,Podocarpus,elatus,Australian Plum,,[],to,,evergreen,,,October,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],['maritime exposure'],"Coastal scrub forest[167]. Once a common tree in Australia, it is now rare due to the destruction of the rainforests[193].","Australia - New South Wales, Queensland, Victoria.",(2 of 5),(0 of 5),(2 of 5)
Cephalotaxaceae,Torreya,californica,California Nutmeg,slow,"[6, 7, 8, 9]",to,8,evergreen,,May,September to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline",[],[],"Rare and local along mountain streams, protected slopes, creek bottoms, and moist canyons of the Coastal Range and Sierra Nevada from sea level to 2000 metres[270].",South-western N. America - California.,(3 of 5),(1 of 5),(2 of 5)
Cephalotaxaceae,Torreya,grandis,Chinese Nutmeg Tree,slow,[],to,,evergreen,,April,October to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Woodlands, 1000 - 1600 metres[109]. Mountains, open valleys, often by streams, on yellow, red, and dark soils at elevations of 200 - 1400 metres[266].",E. Asia - C. and E. China.,(2 of 5),(1 of 5),(3 of 5)
Cephalotaxaceae,Torreya,nucifera,"Kaya, Japanese torreya",slow,"[6, 7, 8]",to,10,evergreen,,,September to November,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Moist valley bottoms[81].,E. Asia - C. and S. Japan.,(5 of 5),(2 of 5),(0 of 5)
Taxaceae,Taxus,baccata,"Yew, English yew,  Common Yew",slow,"[5, 6, 7]",to,10,evergreen,,March to April,September to November,dioecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry or  moist soil']","['drought', 'atmospheric pollution']","Woods and scrub, usually on limestone. It sometimes forms pure stands in sheltered sites on chalk in the south-east and on limestone in the north-west[17].","Europe, incl Britain, from Scandanavia south and east to N. Africa, the Caucasus, Iran, Himalayas.",(3 of 5),(4 of 5),(4 of 5)
Illiciaceae,Illicium,verum,"Ba Jiao Hui Xian, Staranise tree",,[],to,3,evergreen,,March to May,October,hermaphrodite,"['light', 'medium']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],"Light woodland and thickets[200]. Forests at elevations of 200 - 1600 metres in S and W Guangxi Province, China[266].","E. Asia - China, Vietnam.",(3 of 5),(3 of 5),(1 of 5)
Schisandraceae,Kadsura,japonica,,,"[6, 7, 8, 9]",to,,evergreen,,June to September.,,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],"Climbs trees in woodlands[58]. Forests and slopes at elevaions of 500 - 2000 metres in Fujian and Taiwan Provinces, China[266].","E. Asia - southern China, central and southern Japan.",(2 of 5),(1 of 5),(0 of 5)
Schisandraceae,Schisandra,chinensis,"Magnolia Vine, Wu Wei Zi",medium,"[4, 5, 6, 7, 8]",9,,deciduous,,April to May,August to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Mixed forests, especially on the margins, also by streams and brooks, usually on sandy soils[74].","E. Asia - China, Japan, Korea.",(4 of 5),(5 of 5),(2 of 5)
Nymphaeaceae,Nymphaea,odorata,"Fragrant Water Lily, American white waterlily",,"[4, 5, 6, 7, 8]",for,,PERENNIAL.,,July to August,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Acidic or alkaline ponds, lakes, sluggish streams and rivers, pools in marshes, ditches, canals, or sloughs from sea level to 1700 metres[270].","N. America - Newfoundland to British Columbia, south to California, Florida, Mexico and Cuba.",(3 of 5),(3 of 5),(0 of 5)
Lauraceae,Laurus,nobilis,"Bay Tree, Sweet bay, Grecian Laurel, True Laurel,",slow,[],to,10,evergreen,,April to May.,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Damp rocks and ravines, thickets and old walls[89].",S. Europe.,(3 of 5),(3 of 5),(4 of 5)
Lauraceae,Lindera,benzoin,"Spice Bush, Northern spicebush, Bush Northern Spice",slow,"[4, 5, 6, 7, 8, 9]",3,3,deciduous,,April,August to September,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral soils and can grow in very acid,[],[],"Wet woods and by streams[184] on sandy or peaty soils[149]. Stream banks, low woods, margins of wetlands; uplands, especially with exposed limestone, from sea level to 1200 metres[270].","Eastern N. America - Maine and Ontario to Kentucky, Missouri and Kansas.",(3 of 5),(3 of 5),(3 of 5)
Lauraceae,Litsea,cubeba,"Mountain Pepper, Litsea",,"[1, 2]",7,,deciduous,,March to April,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Sunny slopes, thickets, sparse forests, roadsides, watersides, 500 - 3200 metres in Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangsu, Jiangxi, Sichuan, Xizang, Yunnan, Zhejiang[266].","E. Asia - China, Japan, Indian subcontinent, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia.",(2 of 5),(2 of 5),(4 of 5)
Annonaceae,Asimina,triloba,Papaw,slow,"[5, 6, 7, 8]",4.5,4,deciduous,,May to June,October,hermaphrodite,['medium'],"mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"An understorey tree of woodlands, growing in deep rich moist soils of river valleys and bottomlands, often forming dense thickets[229].","South-eastern N. America - New Jersey to Florida, west to Texas and Nebraska.",(4 of 5),(2 of 5),(3 of 5)
Saururaceae,Houttuynia,cordata,"Tsi, Chameleon, Rainbow Plant, Chameleon Plant",fast,[],0.6,1,PERENNIAL,,June.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' moist or  wet soil'],[],Shrubberies and damp places to 2400 metres in the Himalayas[51]. Often found as a weed in wet fields[187].,"E. Asia - China, Japan, Himalayas.",(4 of 5),(3 of 5),(2 of 5)
Araceae,Acorus,calamus,Sweet Flag - Calamus,medium,[],1,1,PERENNIAL,,May to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],[],"Found in moist soils and shallow water in ditches, marshes, river edges and ponds[1, 100, 187, 244].","Europe, Asia and N. America. Naturalized in Britain[17].",(3 of 5),(4 of 5),(4 of 5)
Alismataceae,Sagittaria,latifolia,"Duck Potato, Broadleaf Arrowhead",,"[6, 7, 8, 9]",1.2,0.3,PERENNIAL,,July to September,August to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],[],"Ditches, ponds, lakes and swampy areas in most parts of N. America[60].",N. America - all areas except the far north. Naturalized in various parts of Europe[50].,(5 of 5),(1 of 5),(0 of 5)
Alismataceae,Sagittaria,cuneata,"Wapato, arumleaf arrowhead",,"[5, 6, 7, 8, 9]",0.8,,PERENNIAL,,July to August.,,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[' wet soil'],[],"Calcareous or muddy shores and shallow waters of rivers, lakes, ponds, pastures, and ditches, occasional in tidal waters, or in deep flowing water with slow current; 100 - 2500 metres[43, 270].","N. America - Nova Scotia to British Columbia, south to Connecticut, Kansas, and California.",(4 of 5),(1 of 5),(0 of 5)
Araceae,Arisaema,flavum,,,"[6, 7, 8, 9]",0.4,,PERENNIAL,,June to July,June to July,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"Mountain slopes, farmland edges and roadsides in sub-alpine steppe, 3500 - 4300 metres in Tibet[91]. Locally common in Kashmir on humus-rich soils[145].",E. Asia - Himalayas to China. N. Africa - Yemen.,(2 of 5),(1 of 5),(1 of 5)
Lemnaceae,Lemna,gibba,"Gibbous Duckweed, Swollen duckweed, Windbags, Duckweed",,[],0.2,,PERENNIAL,,,,monoecious,[],neutral and basic (mildly alkaline),[],[],"Still waters in Britain[17]. Eutrophic, quiet waters in temperate regions with mild winters[270].","Temperate areas in Europe, including Britain, to the Himalayas, Africa, S. and N. America.",(3 of 5),(0 of 5),(0 of 5)
Lemnaceae,Lemna,minor,"Duckweed,  Common duckweed",,"[4, 5, 6, 7, 8]",for,,PERENNIAL.,,June to July.,,monoecious,[],neutral and basic (mildly alkaline),[],[],"Still water[17]. Mesotrophic to eutrophic, quiet waters, in suboceanic, cool-temperate regions with relatively mild winters[270].","A cosmopolitan plant, found in most regions of the world, including Britain, absent from Tropics.",(1 of 5),(2 of 5),(3 of 5)
Lemnaceae,Lemna,trisulca,Star Duckweed,,"[4, 5, 6, 7, 8]",for,,PERENNIAL.,,May to July.,,monoecious,[],neutral and basic (mildly alkaline),[],[],"Ponds and ditches in all parts of Britain except north Devon and east Cornwall[17]. Mesotrophic, quiet waters rich in calcium, in cool-temperate regions[270].","Europe, including Britain, from Scandanavia south and east to N. Africa, Asia, N. America, Australia",(0 of 5),(1 of 5),(0 of 5)
Lemnaceae,Wolffia,arrhiza,"Least Duckweed, Spotless watermeal",,"[6, 7, 8, 9]",above,,evergreen,,,,hermaphrodite,"['light', 'medium', 'heavy']",neutral and basic (mildly alkaline) soils and can grow in very alkaline,[],[],"Floating on quiet waters[204]. A rare native of southern Britain, growing in still waters[17].","Europe, including Britain, to Asia.",(4 of 5),(0 of 5),(0 of 5)
Dioscoreaceae,Dioscorea,japonica,"Glutinous Yam, Japanese yam",,[],to,,PERENNIAL,,September to October.,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Wooded foothills[58]. Mixed forests and margins, scrub forests, herb communities, mountain slopes, valleys, along rivers and streams, roadsides; 100 - 1200 metres[266].","E. Asia - China, C. and S. Japan.",(4 of 5),(2 of 5),(0 of 5)
Dioscoreaceae,Dioscorea,villosa,Wild Yam,,"[5, 6, 7, 8, 9]",to,,PERENNIAL,,September to October.,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Borders of bogs, swamps, marshes, river and lake margins, creek bottoms, sandy or rocky soils, moist or dry woods, hammocks, thickets, limestone or talus slopes, roadsides, sea level to 1500 m[270].","Eastern N. America - New England to Minnesota and Ontario, south to Virginia and Texas.",(2 of 5),(4 of 5),(0 of 5)
Colchicaceae,Colchicum,autumnale,"Autumn Crocus, Meadow Saffron,",medium,"[6, 7, 8, 9]",0.2,0.2,BULB,February to July,August to October,April to June,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Meadows and damp woodland clearings[1, 10, 13] on calcareous and neutral soils[17]. Extremely rare away from the Bristol Channel in Britain[7].","Central and southeastern Europe, including Britain, from Denmark to Spain, east to Macedonia.",(0 of 5),(3 of 5),(1 of 5)
Liliaceae,Fritillaria,camschatcensis,"Kamchatka Lily,  	Kamchatka fritillary",,"[4, 5, 6, 7, 8]",0.5,0.1,BULB,,May.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Moist areas from sea level to 600 metres[60] in open woods and sub-alpine meadows[90].,Northern N. America - Washington to Alaska and eastwards to Siberia and Japan.,(4 of 5),(0 of 5),(0 of 5)
Liliaceae,Fritillaria,pudica,Yellow Fritillary,,"[3, 4, 5, 6, 7]",0.2,0.1,BULB,,April to May.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Grassland and sagebrush deserts to mixed coniferous forests, also on stony mountain slopes[60, 163], 400 - 2000 metres[90].","Western N. America - British Columbia to Wyoming, south to New Mexico.",(3 of 5),(0 of 5),(0 of 5)
Liliaceae,Lilium,auratum,Golden-Rayed Lily,,"[5, 6, 7, 8, 9]",1.8,,BULB,,August to September,September to October,hermaphrodite,"['light', 'medium']",mildly acid and neutral,[' well-drained soil'],[],"Hills and mountains[58] in scrub or grassy places[90], in volcanic ash or poor gravelly soils, always on steep well-drained slopes[143].",E. Asia - Japan.,(3 of 5),(0 of 5),(0 of 5)
Liliaceae,Lilium,brownii,Hong Kong Lily,,"[4, 5, 6, 7, 8]",1.2,,BULB,,July.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Loose fertile soil along woodland edges or in grass and thickets[147]. Rock crevices, amongst coarse grass and scrub below 1,500 metres[260].","E. Asia - Southern China from Hong Kong, to Burma",(3 of 5),(2 of 5),(0 of 5)
Liliaceae,Lilium,candidum,Madonna Lily,,"[5, 6, 7, 8, 9]",1,0.3,BULB,October to July,July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Rocky slopes and in scrub to 600 metres[50, 90].",S.W. Asia. Naturalized in Europe around the Mediterranean.,(3 of 5),(2 of 5),(2 of 5)
Liliaceae,Lilium,concolor,Morning Star Lily,,"[4, 5, 6, 7, 8]",0.6,0.3,BULB,,June to July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Scrub in pockets of humus on carboniferous limestone and in heavy limey soil, 1500 - 2200 metres[90]. Moist places in forests, thickets, moist meadows, grassy slopes and sunny grassland[266].",E. Asia - China,(2 of 5),(2 of 5),(0 of 5)
