Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Alliaceae,Allium,ampeloprasum,"Wild Leek, Broadleaf wild leek",,"[5, 6, 7, 8, 9]",1.8,0.1,Bulb,,"['Bees', 'Insects']",October to August,July to August,August,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,,Rocky places near the coast in S.W. England and Wales.,S. Europe to W. Asia. Possibly native in Britain in S.W. England and Wales[17].,5,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Allium+ampeloprasum
Alliaceae,Allium,canadense,"Canadian Garlic, Meadow garlic, Fraser meadow garlic,  Hyacinth meadow garlic",,"[4, 5, 6, 7, 8]",0.5,0.2,Bulb,,"['Bees', 'Insects']",,May to June.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Sandy soils in low woods, thickets and meadows[43, 274].","N. America - New Brunswick to Minnesota, south to Florida and Colorado",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Allium+canadense
Alliaceae,Allium,cepa aggregatum,Potato Onion,,"[4, 5, 6, 7, 8]",1.2,,Bulb,,"['Bees', 'Insects']",,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,Not known in wild.,Not known in wild.,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Allium+cepa aggregatum
Alliaceae,Allium,cepa proliferum,"Tree Onion, Walking Onion",,"[4, 5, 6, 7, 8]",1.2,,Bulb,,"['Bees', 'Insects']",,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Not known in the wild.,Original habitat is obscure.,5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Allium+cepa proliferum
Alliaceae,Allium,cernuum,"Nodding Onion, New Mexican nodding onion",,"[5, 6, 7, 8, 9]",0.5,0.3,Bulb,,"['Bees', 'Insects']",February to December,June to July.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Ledges, gravels, rocky or wooded slopes and crests ascending to high altitudes. Widely distributed on moist soils in mountainous and cool regions to 3500 metres.",N. America - Canada to Mexico.,5,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Allium+cernuum
Alliaceae,Allium,fistulosum,Welsh Onion,,"[5, 6, 7, 8, 9]",0.6,0.2,Bulb,,"['Bees', 'Insects']",,July.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Cultivated for over 1000 years, it is not known in the wild.","E. Asia, possibly western China, though the original habitat is obscure.",5,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Allium+fistulosum
Alliaceae,Allium,schoenoprasum,"Chives, Wild chives, Flowering Onion",medium,"[5, 6, 7, 8, 9, 10, 11]",0.3,0.3,Bulb,,"['Bees', 'Flies', 'Lepidoptera (moths & butterflies)']",February to December,June to July,July to August,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,,"Rocky pastures and damp meadows, preferring calcareous soils[17, 90].","Most of Europe, including Britain, east to the Himalayas and Japan.",5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Allium+schoenoprasum
Alliaceae,Allium,tricoccum,"Wood Leek,  Ramp",,"[5, 6, 7, 8, 9]",0.3,0.2,Bulb,,"['Bees', 'Insects']",March to June,June to July.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich woods and bottoms, preferring slopes and streamsides. Usually in beech and maple woods.","Eastern N. America - Quebec, south to Virginia and Iowa.",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Allium+tricoccum
Alliaceae,Allium,tuberosum,"Garlic Chives, Chinese chives, Oriental Chives,",fast,"[4, 5, 6, 7, 8]",0.3,0.3,Bulb,,"['Bees', 'Insects']",,August to September,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,Not known in a truly wild situation.,E. Asia? Original habitat is obscure.,5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Allium+tuberosum
Betulaceae,Alnus,cordata,Italian Alder,fast,"[5, 6, 7, 8, 9]",25.0,8.0,Deciduous Tree,Deciduous,['Wind'],April to December,March.,,Monoecious,"['medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,Maritime exposure,"Very rarely self-sown in Britain, but not naturalised.","Europe - S. Italy, Corsica.",0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Alnus+cordata
Betulaceae,Alnus,incana,"Grey Alder, Speckled alder, Thinleaf alder, White Alder",fast,"[2, 3, 4, 5, 6]",18.0,5.0,Deciduous Tree,Deciduous,['Wind'],,February to March.,,Monoecious,"['medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,Maritime exposure,"Mountains, especially on poor soil[17, 50].",Europe. Introduced in Britain[17].,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Alnus+incana
Betulaceae,Alnus,rugosa,Speckled Alder,fast,"[2, 3, 4, 5, 6]",22.0,,Deciduous Tree,Deciduous,['Wind'],,May,October,Monoecious,"['medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Wet sandy or gravelly soils, usually along streams and rivers, but also in ponds and swamps. It is only found in open sunny areas, being unable to compete in dense shade.",Northern and Eastern N. America - Hudson's Bay to Virginia. Naturalized in C. Europe[50].,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Alnus+rugosa
Betulaceae,Alnus,serrulata,"Smooth Alder, Hazel alder",,"[3, 4, 5, 6, 7, 8, 9]",4.5,,Deciduous Shrub,Deciduous,['Wind'],,,,Monoecious,"['medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist lowlands, such as swamps, and along ponds and streams where it forms thickets[222, 229].","Eastern N. America - Maine to Florida, west to Oklahoma and Indiana.",0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Alnus+serrulata
Malvaceae,Althaea,officinalis,"Marsh Mallow, Common marshmallow",,"[3, 4, 5, 6, 7]",1.2,0.8,Perennial,,['Bees'],,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in saline","['Mildly acid', ' neutral', 'basic', 'saline']",,,"The upper margins of salt and brackish marshes, sides of ditches and grassy banks near the sea[7, 17].","Central and southern Europe, including Britain, to N. Africa and W. Asia.",5,5,3,https://pfaf.org/user/Plant.aspx?LatinName=Althaea+officinalis
Rosaceae,Amelanchier,alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",medium,"[4, 5, 6]",4.0,3.0,Deciduous Shrub,Deciduous,['Bees'],,May,June to July,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Thickets, woodland edges and banks of streams in moist well-drained soils[99, 200]. Small bushy forms grow on fairly dry hillsides.",Western and Central N. America - Saskatchewan and south to Colorado and Idaho.,5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Amelanchier+alnifolia
Rosaceae,Amelanchier,bartramiana,Oblongfruit serviceberry,,"[4, 5, 6, 7, 8]",3.0,,Deciduous Shrub,Deciduous,['Bees'],,April to May.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",,,"Peaty or boggy thickets, sphagnum bogs, bushy and mountain slopes to the sub-alpine zone.",N. America - Labrador to Minnesota and south to Pennsylvania.,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Amelanchier+bartramiana
Rosaceae,Amelanchier,obovalis,"Southern Juneberry, Coastal serviceberry",,"[5, 6, 7, 8, 9]",1.5,1.5,Deciduous Tree,Deciduous,['Bees'],,April to May.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Moist soil,Drought,Pinelands and low woods.,South-eastern N. America - Georgia and Alabama north to southern New Jersey[43].,3,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Amelanchier+obovalis
Rosaceae,Amelanchier,stolonifera,"Quebec Berry, Running serviceberry",,"[4, 5, 6, 7, 8]",1.5,,Deciduous Shrub,Deciduous,['Bees'],,May,July,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",,,Dry acid rocky or sandy open habitats.,Eastern N. America,5,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Amelanchier+stolonifera
Fabaceae or Leguminosae,Amorpha,canescens,Lead Plant,,"[2, 3, 4, 5, 6, 7, 8, 9]",1.2,1.5,Deciduous Shrub,Deciduous,,,July to September.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Dry sandy prairies, hills and woodland[43, 200].","Eastern N. America - Indiana to Minnesota and Manitoba, south to Kansas and New Mexico.",2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Amorpha+canescens
Fabaceae or Leguminosae,Amorpha,fruticosa,"False Indigo, False indigo bush",medium,"[4, 5, 6, 7, 8]",4.5,,Deciduous Shrub,Deciduous,,,July.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"River banks, rich moist thickets etc[43, 184]. Grows chiefly in limestone soils.",Southern N. America. Locally naturalized in S. and C. Europe[50].,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Amorpha+fruticosa
Fabaceae or Leguminosae,Amorpha,nana,"Dwarf Indigobush, Dwarf false indigo,  Dwarf  Indigo",medium,"[4, 5, 6, 7, 8]",0.6,,Deciduous Shrub,Deciduous,,,July to August.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,Dry prairies in S. Manitoba.,Western N. America - Minnesota to the Rocky Mountains.,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Amorpha+nana
Fabaceae or Leguminosae,Amphicarpaea,bracteata,"Hog Peanut, American hogpeanut",,"[4, 5, 6, 7, 8, 9]",1.5,,Perennial Climber,Perennial,['Insects'],May to October,August to September,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Cool damp woodlands[43, 200].","Eastern N. America - New Brunswick to Florida, west to Manitoba and Louisiana.",5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Amphicarpaea+bracteata
Asteraceae or Compositae,Antennaria,dioica,"Catsfoot, Stoloniferous pussytoes",,"[4, 5, 6, 7, 8]",0.1,0.6,Evergreen Perennial,Evergreen,['Apomictic (reproduce by seeds formed without sexual fusion)'],,June to July.,,Dioecious,['light'],"Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Mountain grassland, heaths, dry pastures and woodland edges, usually on calcareous soils[9, 13, 17].","Northern and central Europe, including Britain, to Siberia and W. Asia.",0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Antennaria+dioica
Fabaceae or Leguminosae,Apios,americana,Ground Nut,,"[3, 4, 5, 6, 7, 8, 9]",1.2,,Perennial,,['Insects'],April to November,June to September.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']","Well-drained soil. suitable ph: mildly acid, neutral",,"Usually found in low damp bottomland or riparian woods and thickets, it is also often found round ancient Indian campsites[43, 62, 269].",N. America - Pennsylvania. Occasionally naturalized in S. Europe[50].,5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Apios+americana
Fabaceae or Leguminosae,Apios,priceana,Traveler's delight,,"[6, 7, 8, 9]",3.0,,Perennial,,['Insects'],,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Woods and thickets.,N. America - Kentucky and Tennessee.,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Apios+priceana
Ranunculaceae,Aquilegia,canadensis,"Wild Columbine, Red columbine, Meeting Houses, Common Columbine",medium,"[4, 5, 6, 7, 8, 9, 10]",0.6,0.3,Perennial,,['Bees'],,May to July.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Rocky, wooded or open slopes and sometimes in swamps. Shaded or open woods, often around cliffs, rock outcrops, and forest edge, sometimes in swamps, from sea level to 1600 metres.","N. America - Nova Scotia to the Northwest Territories and south to Nebraska, Texas and Florida.",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Aquilegia+canadensis
Brassicaceae or Cruciferae,Arabis,caucasica,"Rock Cress, Wall Rockcress",medium,"[4, 5, 6, 7, 8, 9]",0.2,1.0,Evergreen Perennial,Evergreen,"['Bees', 'Lepidoptera (moths & butterflies)']",,January to May,April to June,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,Mountain rocks and dry sites.,S.E. Europe - Mediterranean. Occasionally naturalized in Britain[17].,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Arabis+caucasica
Araliaceae,Aralia,cordata,Udo,,"[4, 5, 6, 7, 8, 9]",1.8,,Perennial,,['Bees'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Thickets and thin woods, esp. by streams and ravines, all over Japan[58, 275].","E. Asia - China, Japan, Korea.",4,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Aralia+cordata
Araliaceae,Aralia,hispida,Bristly Sarsaparilla,,"[3, 4, 5, 6, 7]",1.0,,Deciduous Shrub,Deciduous,['Insects'],,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Rocky or sandy sterile soils, Alberta to Saskatchewan, Manitoba and Quebec.","Eastern and Central N. America - E. Canada to Virginia, west to Illinois and Minnesota.",2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Aralia+hispida
Araliaceae,Aralia,nudicaulis,Wild Sarsaparilla,,"[4, 5, 6, 7, 8]",0.4,0.3,Perennial,,['Bees'],,June,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist, shady, rocky woods[4, 21].","N. America - Newfoundland to Manitoba, south to N. Carolina and Missouri.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Aralia+nudicaulis
Araliaceae,Aralia,racemosa,American Spikenard,,"[4, 5, 6, 7, 8]",1.8,1.2,Perennial,,['Bees'],,June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Rich woodlands and thickets[21, 43].","Eastern N. America - Quebec to Georgia, west to Kansas and Minnesota.",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Aralia+racemosa
Araucariaceae,Araucaria,araucana,Monkey Puzzle Tree,slow,"[7, 8, 9, 10, 11]",30.0,15.0,Evergreen Tree,Evergreen,['Wind'],,June to July,September to October,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,"Mountain slopes in deep sandy soils in coniferous woodland, usually with Nothofagus spp.",S. America - S. Chile,5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Araucaria+araucana
Ericaceae,Arbutus,unedo,Strawberry Tree,medium,"[7, 8, 9, 10, 11]",9.0,8.0,Evergreen Tree,Evergreen,['Bees'],,October to December,October to December,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Maritime exposure,"Woodland, scrub and rocky hillsides, often on limestone and sandstone[17, 45].",S. Europe and S.W. Ireland.,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Arbutus+unedo
Ericaceae,Arctostaphylos,uva-ursi,Bearberry,medium,"[4, 5, 6, 7, 8]",0.1,1.0,Evergreen Shrub,Evergreen,['Bees'],,April to July,July to September,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",Well-drained soil,,"Dry open woods, often on gravelly or sandy soils. It is also found on sand dunes along the coast and is also found on limestone in the European Alps.",Britain. Northern N. America. N. Europe. N. Asia.,3,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Arctostaphylos+uva-ursi
Brassicaceae or Cruciferae,Armoracia,rusticana,"Horseradish, Red Cole",fast,"[4, 5, 6, 7, 8, 9]",0.7,0.8,Perennial,,"['Bees', 'Flies', 'Beetles']",,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,"Arable land, waste ground and by streams, favouring slightly damp positions.",Europe. Naturalized in Britain[17].,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Armoracia+rusticana
Rosaceae,Aronia,arbutifolia,Red Chokeberry,,"[4, 5, 6, 7, 8, 9]",3.0,3.0,Deciduous Shrub,Deciduous,['Insects'],,May,October to December,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Atmospheric pollution,"Low woods, thickets, swamps, damp pine barrens etc.",Eastern N. America - Massachusetts to Minnesota and south to Texas and Florida.,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Aronia+arbutifolia
Rosaceae,Aronia,melanocarpa,"Black Chokeberry, Black Berried Aronia",medium,"[3, 4, 5, 6, 7, 8]",2.5,3.0,Deciduous Shrub,Deciduous,['Insects'],,July to August,October to December,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Swamps and low woodlands, it is sometimes also found in drier soils[200, 235].","Eastern N. America - Nova Scotia to Ontario, south to Florida and Michigan.",3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Aronia+melanocarpa
Asteraceae or Compositae,Artemisia,frigida,"Fringed Wormwood, Prairie sagewort",,"[3, 4, 5, 6, 7, 8, 9, 10]",0.3,0.5,Perennial,,['Wind'],,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Dry prairies, plains and rocks to 3300 metres in N. America[43, 164].","N. America - Minnesota to Saskatchewan, Yukon, Texas and Arizona. N. Asia.",2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Artemisia+frigida
Asteraceae or Compositae,Artemisia,stelleriana,"Beach Wormwood, Oldwoman, Dusty Miller",medium,"[3, 4, 5, 6, 7, 8, 9]",0.5,0.6,Evergreen Perennial,Evergreen,['Insects'],,July to September,August to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Sand dunes and coastal cliffs, C. and N. Japan[58, 187]. Naturalized on sand near Marazion in Cornwall.","E. Asia - Japan, Korea, Siberia. Naturalized in Britain[17].",1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Artemisia+stelleriana
Poaceae or Gramineae,Arundinaria,gigantea,"Canebrake bamboo, Cane Reed, Giant cane",,"[5, 6, 7, 8, 9]",9.0,,Evergreen Bamboo,Evergreen,['Wind'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Forms dense thickets along riverbanks, in swamps and low woods[43, 235]. Found on all types of soil from sea level to 600 metres.","Southeastern N. America - Ohio, Indiana, Illinois and Oklahoma to North Carolina, Florida and Texas.",3,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Arundinaria+gigantea
Aristolochiaceae,Asarum,canadense,"Snake Root, Canadian wildginger, Canada Wild Ginger, Wild Ginger",slow,"[3, 4, 5, 6, 7, 8, 9]",0.1,0.5,Deciduous Perennial,Deciduous,['Flies'],,May.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Moist rich soils in woodlands, usually on calcareous soils[43, 159]. Understorey of deciduous (rarely coniferous) forests from sea level to 1300 metres.","Eastern N. America - Manitoba to New Brunswick, south to N. Carolina and Kansas.",3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Asarum+canadense
